query,precision@5,precision@10,ndcg@5,ndcg@10,average_precision,mrr,relevant_results,total_results
ИИ в трейдинге,0.2,0.3,0.5,0.5391065605018962,0.33134920634920634,0.3333333333333333,3,10
новый VR шлем Valve,0.4,0.2,1.0,1.0,1.0,1.0,2,10
Telegram обновил дизайн iOS,0.4,0.5,0.8772153153380493,0.8061765387700855,0.5888888888888889,1.0,5,10
крипторынок восстановление 2025,1.0,1.0,1.0,1.0,1.0,1.0,10,10
создание длинных видео Sora,1.0,0.7,1.0,0.9950883841893561,0.9821428571428571,1.0,7,10
блокировка SIM карт роуминг,0.8,0.7,1.0,0.9714977244644463,0.9087301587301587,1.0,7,10
нейросети для дизайна интерьера,0.8,0.6,1.0,0.9838048780283076,0.9484126984126985,1.0,6,10
зарплатные ожидания зумеров,0.4,0.4,0.6934264036172708,0.7106752765782569,0.5595238095238095,0.5,4,10
СберМобайл подписка Литрес,0.4,0.2,1.0,1.0,1.0,1.0,2,10
будущее бизнеса эмпатия технологии,0.8,0.8,0.9558295932317544,0.9384745935215792,0.8388888888888889,1.0,8,10
OVERALL_MEAN,0.62,0.54,0.9026471312187075,0.8944823956053929,0.8157936507936508,0.8833333333333332,,
